convenience_key,hdmi,sd_port,lan_port,pd_charge,thunderbolt
1,True,True,False,True,True
2,True,False,True,True,False
3,False,True,True,False,True
4,True,True,True,True,True
5,False,False,False,True,False
6,True,True,False,False,True
7,False,True,True,True,False
8,True,False,False,True,True
9,True,True,False,True,False
10,False,False,True,False,True
11,True,True,False,True,True
12,True,True,True,True,True
13,True,False,True,True,True
14,True,True,True,True,False
15,True,True,False,True,True
16,True,False,True,True,True
17,True,False,False,True,True
18,True,True,True,True,True
19,True,False,True,True,True
20,True,True,False,True,True
21,True,False,False,True,False
22,False,False,False,True,False
23,True,False,False,False,False
24,True,False,False,True,True
25,False,False,True,False,False
26,True,True,False,True,False
27,False,False,True,True,False
28,True,False,True,False,False
29,True,False,False,True,True
30,False,False,False,False,False
